29,1,4
8,18,1
36,19,1
26,10,4
28,4,5
2,8,1
21,19,5
35,3,2
21,35,3
22,37,2
31,2,3
12,23,5
4,31,2
5,40,3
23,11,5
27,3,5
14,5,4
40,36,2
18,40,2
40,27,3
21,23,5
37,13,1
15,30,2
34,17,2
8,17,3
30,16,3
3,2,4
34,13,2
36,17,3
29,3,1
9,37,2
32,29,4
11,38,5
21,23,2
34,3,1
36,5,3
28,30,1
31,10,5
38,34,4
8,5,5
9,28,2
37,5,2
25,23,5
7,9,3
6,9,1
25,34,1
21,38,5
12,27,5
7,13,3
13,6,4
10,28,5
38,8,4
21,20,1
40,35,5
3,14,3
36,29,1
9,27,5
32,23,3
8,30,3
32,23,5
3,17,4
1,23,1
20,24,1
2,26,5
11,38,1
27,40,1
36,30,3
19,12,2
39,24,5
35,28,1
4,4,3
18,5,1
23,4,2
33,7,4
23,33,3
2,37,2
32,20,3
6,23,3
10,1,5
20,18,1
40,28,1
18,14,2
22,38,1
15,3,4
29,8,4
27,1,3
28,12,4
13,6,2
22,10,3
32,7,2
10,2,5
13,27,5
35,6,2
38,18,5
33,21,3
9,40,4
10,18,3
14,6,2
30,9,3
6,6,5
8,14,4
16,29,3
9,36,4
29,15,5
11,23,3
19,23,1
9,11,2
37,7,1
29,25,4
17,27,5
40,15,1
37,34,5
6,7,3
40,13,4
4,28,5
9,36,5
38,21,5
39,13,1
1,25,2
19,6,3
13,25,3
4,22,1
31,17,3
15,7,4
32,34,1
25,3,3
3,2,1
13,16,4
9,19,1
18,37,4
19,14,2
34,29,1
29,25,5
27,27,4
31,21,2
16,4,1
39,1,1
20,40,3
10,10,3
39,38,4
23,9,2
40,32,1
6,12,5
29,22,3
39,4,1
19,17,2
27,26,3
24,4,2
3,23,5
28,6,5
16,28,5
13,26,5
24,15,3
16,20,2
37,28,1
15,22,2
7,11,5
20,11,4
37,40,2
3,12,5
6,12,3
36,1,4
1,6,5
37,22,2
39,30,5
26,3,2
23,39,1
14,5,3
23,23,4
34,30,4
34,12,1
9,20,1
2,40,2
18,15,1
6,24,5
3,24,2
40,6,1
25,23,4
31,28,3
9,23,5
27,22,5
3,33,4
4,21,1
10,3,2
30,9,1
12,3,5
30,18,5
8,6,2
39,25,4
40,10,3
40,2,5
13,2,1
36,28,2
18,20,4
39,34,2
13,18,1
18,27,5
7,9,5
8,31,5
18,5,3
